policy_id,name,year_recommended,source,status,implementing_body,budget_allocated_ksh_m,budget_utilized_pct,blocking_factor,lives_saved_estimate,notes
P001,Nairobi Integrated Flood Risk Management Plan,2016,World Bank / NCC,Partially Implemented,Nairobi City County,2400,31,Inter-agency coordination failure — WRMA and NCC dispute jurisdiction over riparian corridors,120,Core drainage masterplan exists on paper; implementation stalled after Phase 1
P002,Riparian Reserve Enforcement (30m buffer),2011,NEMA / WRMA,Not Enforced,WRMA,180,8,Political economy — riparian land has high commercial value; enforcement actors face pressure not to act,340,Legal framework exists under Water Act 2016; gazette notices issued but not actioned
P003,Mathare River Channelisation and Embankment,2018,Athi Water Works,Stalled,Athi Water Works Development Agency,1800,22,Budget absorption — procurement process restarted three times; contractor disputes,210,Phase 1 design completed; civil works at 18% after 4 years
P004,Nairobi Drainage Master Plan Implementation,2014,JICA / NCC,Partially Implemented,Nairobi City County,3600,44,Competing priorities — drainage budget consistently reallocated to road works during election years,180,JICA-funded masterplan technically sound; implementation rate well below schedule
P005,Early Warning System for Informal Settlements,2020,Kenya Red Cross / KMD,Stalled,Kenya Meteorological Department,240,15,Inter-agency coordination failure — data sharing MOU between KMD and NCC never executed,95,Pilot in Mathare showed 6-hour lead time achievable; not scaled
P006,Kibera Stormwater Management Infrastructure,2019,UN-Habitat / NCC,Partially Implemented,NCC / UN-Habitat,960,38,Land tenure — informal settlement status creates legal ambiguity for permanent infrastructure,160,Swales and retention ponds installed in Sectors 1-3; Sectors 4-7 pending
P007,Building Code Enforcement in Flood Zones,2010,NCC / NCA,Not Enforced,National Construction Authority,120,6,Political will — enforcement creates constituency conflict; MCAs routinely intervene to halt demolitions,290,NCA has mandate; enforcement personnel exist; political interference documented
P008,Community Flood Resilience Training Programme,2021,Kenya Red Cross,Completed,Kenya Red Cross,85,94,None,45,Successfully reached 12000 residents across 8 settlements; model for replication
P009,Ngong River Desilting and Corridor Restoration,2017,WRMA,Stalled,Water Resources Management Authority,520,11,Budget absorption — funds released but not spent; WRMA capacity constraints,130,River carries 3x design sediment load; desilting contract awarded twice without completion
P010,Flood-Resilient Housing Subsidy Scheme,2023,World Bank / State Dept Housing,Draft Only,State Department for Housing,4800,0,Political economy — scheme threatens informal settlement landlord interests; draft circulated but not gazetted,420,Most ambitious intervention; highest lives-at-risk multiplier; zero implementation progress
